motor_timestamp,motor_position,arduino_timestamp,arduino_position
1739940632.66083,1.12907874584198,1739940648.67588,151.005
1739940632.67092,1.13913810253143,1739940648.72636,154.605
1739940632.68101,1.1473206281662,1739940648.77687,158.01
1739940632.6911,1.15622222423553,1739940648.82749,161.645
1739940632.70121,1.16633689403534,1739940648.87891,165.575
1739940632.71144,1.17679679393768,1739940648.9295,168.93
1739940632.7216,1.17679679393768,1739940648.98039,172.555
1739940632.73168,1.187126994133,1739940649.0116,176.57
1739940632.74178,1.20980727672577,1739940649.06194,179.97
1739940632.75186,1.21826064586639,1739940649.11228,183.56
1739940632.76196,1.2275208234787,1739940649.13242,5
1739940632.77206,1.23759353160858,1739940649.16306,187.26
1739940632.78214,1.24778831005096,1739940649.22318,191.11
1739940632.79221,1.25819289684296,1739940649.27367,194.59
1739940632.8023,1.26919639110565,1739940649.32418,198.115
1739940632.81247,1.26919639110565,1739940649.37476,202.035
1739940632.82255,1.2880619764328,1739940649.42624,205.175
1739940632.83262,1.29735839366913,1739940649.47692,208.735
1739940632.84271,1.30780494213104,1739940649.5275,212.57
1739940632.85278,1.3187016248703,1739940649.57817,216
1739940632.86286,1.32855308055878,1739940649.62875,219.525
1739940632.87293,1.34053885936737,1739940649.67941,223.02
1739940632.88304,1.35065352916718,1739940649.73012,226.58
1739940632.89312,1.35850417613983,1739940649.78067,229.22
1739940632.90319,1.36742103099823,1739940649.8313,232.435
1739940632.91328,1.37777411937714,1739940649.88191,234.155
1739940632.92339,1.38936316967011,1739940649.93246,236.445
1739940632.9335,1.40002715587616,1739940649.98309,237.77
1739940632.94363,1.41091239452362,1739940650.03367,238.545
1739940632.95375,1.42888724803925,1739940650.08464,239.785
1739940632.96399,1.42888724803925,1739940650.13515,240.17
1739940632.97408,1.43654525279999,1739940650.18572,240.325
1739940632.98415,1.44647872447968,1739940650.2363,240.34
1739940632.99422,1.45801246166229,1739940650.28682,240.35
1739940633.00429,1.46869742870331,1739940650.3375,240.36
1739940633.01437,1.48061072826386,1739940650.38916,240.36
1739940633.02445,1.491419672966,1739940650.4398,240.36
1739940633.03452,1.50747573375702,1739940650.49035,240.365
1739940633.04461,1.50747573375702,1739940650.5208,2
1739940633.05472,1.5161064863205,1739940650.54089,40.365
1739940633.06482,1.52668845653534,1739940650.57126,240
