FILE_VERSION	2.0.0
NO_OF_FRAMES	810
NO_OF_CAMERAS	4
NO_OF_MARKERS	5
FREQUENCY	300
DESCRIPTION	--
TIME_STAMP	2026-01-09, 11:32:05.274	268270.80720153
DATA_INCLUDED	3D
MARKER_NAMES	Ball Butler - 1	Ball Butler - 2	Ball Butler - 3	Ball Butler - 4	Ball Butler - 5
TRAJECTORY_TYPES	Mixed	Mixed	Mixed	Measured	Measured
Frame	Time	Ball Butler - 1 X	Ball Butler - 1 Y	Ball Butler - 1 Z	Ball Butler - 2 X	Ball Butler - 2 Y	Ball Butler - 2 Z	Ball Butler - 3 X	Ball Butler - 3 Y	Ball Butler - 3 Z	Ball Butler - 4 X	Ball Butler - 4 Y	Ball Butler - 4 Z	Ball Butler - 5 X	Ball Butler - 5 Y	Ball Butler - 5 Z	
93	0.30667	0.000	0.000	0.000	0.000	0.000	0.000	-590.769	-131.158	1726.149	-680.424	-79.645	1724.458	-614.692	-76.633	1723.702
94	0.31000	0.000	0.000	0.000	0.000	0.000	0.000	-590.951	-130.381	1726.204	-680.815	-79.649	1724.391	-615.240	-75.919	1723.747
95	0.31333	0.000	0.000	0.000	0.000	0.000	0.000	-591.089	-129.836	1726.193	-681.205	-79.545	1724.397	-615.559	-75.530	1723.684
96	0.31667	0.000	0.000	0.000	0.000	0.000	0.000	-591.139	-129.329	1726.133	-681.688	-79.476	1724.351	-615.994	-75.184	1723.645
97	0.32000	0.000	0.000	0.000	0.000	0.000	0.000	-591.257	-128.595	1726.196	-682.134	-78.906	1724.455	-616.483	-74.347	1723.808
98	0.32333	0.000	0.000	0.000	0.000	0.000	0.000	-591.452	-127.796	1726.239	-682.409	-79.108	1724.333	-616.793	-73.941	1723.745
99	0.32667	0.000	0.000	0.000	0.000	0.000	0.000	-591.500	-127.272	1726.178	-682.777	-79.013	1724.321	-617.134	-73.427	1723.719
100	0.33000	0.000	0.000	0.000	0.000	0.000	0.000	-591.600	-126.590	1726.150	-683.213	-78.861	1724.313	-617.648	-72.991	1723.717
101	0.33333	0.000	0.000	0.000	0.000	0.000	0.000	-591.764	-126.005	1726.114	-683.723	-78.368	1724.458	-618.136	-72.416	1723.715
102	0.33667	0.000	0.000	0.000	0.000	0.000	0.000	-591.959	-125.378	1726.097	-684.060	-78.464	1724.362	-618.503	-72.063	1723.644
103	0.34000	0.000	0.000	0.000	0.000	0.000	0.000	-592.064	-124.749	1726.096	-684.350	-78.641	1724.246	-619.000	-71.518	1723.699
104	0.34333	0.000	0.000	0.000	0.000	0.000	0.000	-592.221	-123.962	1726.146	-684.802	-78.439	1724.312	-619.499	-71.117	1723.697
105	0.34667	0.000	0.000	0.000	0.000	0.000	0.000	-592.369	-123.302	1726.118	-685.197	-78.237	1724.355	-619.889	-70.577	1723.658
106	0.35000	0.000	0.000	0.000	0.000	0.000	0.000	-592.485	-122.674	1726.074	-685.725	-77.934	1724.432	-620.368	-69.864	1723.715
107	0.35333	0.000	0.000	0.000	0.000	0.000	0.000	-592.675	-121.903	1726.072	-686.021	-78.047	1724.325	-620.788	-69.286	1723.613
108	0.35667	0.000	0.000	0.000	0.000	0.000	0.000	-592.862	-121.298	1726.066	-686.390	-78.270	1724.212	-621.192	-69.157	1723.527
109	0.36000	0.000	0.000	0.000	0.000	0.000	0.000	-593.042	-120.742	1726.041	-686.826	-77.889	1724.297	-621.691	-68.617	1723.573
110	0.36333	0.000	0.000	0.000	0.000	0.000	0.000	-593.075	-120.487	1725.832	-687.251	-77.610	1724.364	-622.157	-68.114	1723.567
111	0.36667	0.000	0.000	0.000	0.000	0.000	0.000	-593.314	-119.688	1725.923	-687.675	-77.477	1724.356	-622.749	-67.648	1723.630
112	0.37000	0.000	0.000	0.000	0.000	0.000	0.000	-593.508	-119.013	1725.947	-688.022	-77.622	1724.298	-623.086	-67.230	1723.599
113	0.37333	0.000	0.000	0.000	0.000	0.000	0.000	-593.641	-118.392	1725.926	-688.388	-77.329	1724.322	-623.565	-66.483	1723.588
114	0.37667	0.000	0.000	0.000	0.000	0.000	0.000	-593.863	-117.580	1725.954	-688.874	-77.293	1724.295	-623.854	-66.477	1723.427
115	0.38000	0.000	0.000	0.000	0.000	0.000	0.000	-593.996	-117.011	1725.938	-689.319	-77.118	1724.318	-624.352	-66.028	1723.449
116	0.38333	0.000	0.000	0.000	0.000	0.000	0.000	-594.164	-116.447	1725.920	-689.652	-77.166	1724.284	-624.847	-65.491	1723.494
