NO_OF_FRAMES	6282
NO_OF_CAMERAS	4
NO_OF_MARKERS	11
FREQUENCY	300
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-12-11, 15:41:33.098	68320.78217323
DATA_INCLUDED	3D
MARKER_NAMES	base_1	base_2	base_3	base_4	base_5	base_6					
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured	Mixed	Mixed	Measured	Measured	Mixed	Measured
Frame	Time	base_1 X	base_1 Y	base_1 Z	base_2 X	base_2 Y	base_2 Z	base_3 X	base_3 Y	base_3 Z	base_4 X	base_4 Y	base_4 Z	base_5 X	base_5 Y	base_5 Z	base_6 X	base_6 Y	base_6 Z	 X	 Y	 Z	 X	 Y	 Z	 X	 Y	 Z	 X	 Y	 Z	 X	 Y	 Z	
70	0.23000	458.430	-659.014	26.615	-401.519	-561.500	28.553	193.661	-491.917	30.397	249.081	-181.866	31.040	-93.246	-143.280	33.279	-239.475	-529.082	33.075	388.567	251.064	1451.930	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
71	0.23333	458.403	-659.014	26.598	-401.500	-561.475	28.608	193.653	-491.903	30.304	249.067	-181.895	30.958	-93.234	-143.278	33.283	-239.459	-529.147	33.009	387.119	251.281	1465.090	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
72	0.23667	458.389	-659.107	26.612	-401.496	-561.527	28.551	193.634	-491.865	30.245	249.071	-181.907	31.010	-93.221	-143.272	33.363	-239.490	-529.018	33.140	385.588	251.316	1477.924	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
73	0.24000	458.421	-659.012	26.573	-401.519	-561.534	28.549	193.598	-491.854	30.144	249.074	-181.852	31.042	-93.230	-143.291	33.274	-239.475	-529.087	33.093	384.066	251.345	1490.715	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
74	0.24333	458.410	-658.954	26.636	-401.496	-561.527	28.551	193.595	-491.832	30.023	249.049	-181.858	31.017	-93.205	-143.264	33.336	-239.485	-529.024	33.174	382.511	251.412	1503.380	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
75	0.24667	458.416	-659.004	26.643	-401.519	-561.525	28.552	193.561	-491.832	29.848	249.087	-181.845	31.043	-93.259	-143.289	33.303	-239.451	-529.111	33.039	380.976	251.430	1515.876	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
76	0.25000	458.411	-659.000	26.596	-401.527	-561.537	28.539	193.524	-491.774	29.607	249.110	-181.869	31.045	-93.234	-143.236	33.225	-239.498	-529.054	33.110	379.406	251.380	1528.247	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
77	0.25333	458.431	-659.029	26.562	-401.493	-561.523	28.602	193.483	-491.761	29.421	249.049	-181.890	31.007	-93.222	-143.302	33.177	-239.498	-529.054	33.110	377.907	251.324	1540.449	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
78	0.25667	458.459	-659.088	26.534	-401.514	-561.537	28.580	193.436	-491.732	29.102	249.056	-181.896	31.049	-93.249	-143.298	33.279	-239.490	-529.013	33.122	376.289	251.192	1552.544	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
79	0.26000	458.410	-658.991	26.636	-401.490	-561.487	28.605	193.413	-491.687	28.956	249.080	-181.894	31.017	-93.242	-143.250	33.350	-239.482	-529.118	33.045	374.724	251.202	1564.558	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
80	0.26333	458.399	-659.025	26.628	-401.516	-561.516	28.603	193.403	-491.667	28.657	249.067	-181.855	31.007	-93.260	-143.311	33.429	-239.475	-529.087	33.093	373.168	251.259	1576.541	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
